date	size"/"remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ("servermsg")	MIME	Etag|Date	URL	localfile	(from URL)
23:18:54	330467/330467	---MCZ	200	added ("OK")	text/html	etag:W/%22a4f2abc799414e52ab626609c603f6ce%22	https://chicken-run.myharavan.com/	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/index.html	(from )
23:18:54	314/314	---MCZ	200	added ("OK")	text/plain	date:Wed,%2022%20May%202024%2016:18:59%20GMT	https://chicken-run.myharavan.com/robots.txt		(from )
23:18:54	552/552	---M--	200	added ("OK")	image/png	etag:%22d33111ce9bda0c4c4b98a36980d439d0%22	http://theme.hstatic.net/200000291373/1000688425/14/favicon.png?v=124	D:/PetProject/TemplateWebsite/theme.hstatic.net/200000291373/1000688425/14/favicon7944.png	(from https://chicken-run.myharavan.com/)
23:18:54	272938/272938	---MCZ	404	error ("Not%20Found")	text/html	date:Wed,%2022%20May%202024%2016:19:00%20GMT	https://chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.eot	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.eot	(from https://chicken-run.myharavan.com/)
23:18:55	272938/272938	---MCZ	404	error ("Not%20Found")	text/html	date:Wed,%2022%20May%202024%2016:19:00%20GMT	https://chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.eot?	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/fonts/glyphicons-halflings-regulard41d.eot	(from https://chicken-run.myharavan.com/)
23:18:55	272938/272938	---MCZ	404	error ("Not%20Found")	text/html	date:Wed,%2022%20May%202024%2016:19:00%20GMT	https://chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.woff2	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.woff2	(from https://chicken-run.myharavan.com/)
23:18:55	272938/272938	---MCZ	404	error ("Not%20Found")	text/html	date:Wed,%2022%20May%202024%2016:19:00%20GMT	https://chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.woff	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.woff	(from https://chicken-run.myharavan.com/)
23:18:55	272938/272938	---MCZ	404	error ("Not%20Found")	text/html	date:Wed,%2022%20May%202024%2016:19:01%20GMT	https://chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.ttf	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.ttf	(from https://chicken-run.myharavan.com/)
23:18:55	272938/272938	---MCZ	404	error ("Not%20Found")	text/html	date:Wed,%2022%20May%202024%2016:19:01%20GMT	https://chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.svg	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/fonts/glyphicons-halflings-regular.svg	(from https://chicken-run.myharavan.com/)
23:18:56	0/0	---M--	404	error ("Not%20Found")	text/html	date:Wed,%2022%20May%202024%2016:19:01%20GMT	https://chicken-run.myharavan.com/owl.video.play.png	D:/PetProject/TemplateWebsite/chicken-run.myharavan.com/owl.video.play.png	(from https://chicken-run.myharavan.com/)
23:18:57	168952/168952	---MCZ	200	added ("OK")	text/css	etag:W/%2213fcf2131e8ec7584d7ad81df08869b3%22	http://theme.hstatic.net/200000291373/1000688425/14/styles.css?v=124	D:/PetProject/TemplateWebsite/theme.hstatic.net/200000291373/1000688425/14/styles7944.css	(from https://chicken-run.myharavan.com/)
23:19:01	32277/32277	---MCZ	200	added ("OK")	application/javascript	etag:W/%221da90bda4dcc195%22	https://stats.hstatic.net/beacon.min.js	D:/PetProject/TemplateWebsite/stats.hstatic.net/beacon.min.js	(from https://chicken-run.myharavan.com/)
